nombre,precio_gbp,link
Bulbasaur,63.0,https://scrapeme.live/shop/Bulbasaur/
Ivysaur,87.0,https://scrapeme.live/shop/Ivysaur/
Venusaur,105.0,https://scrapeme.live/shop/Venusaur/
Charmander,48.0,https://scrapeme.live/shop/Charmander/
Charmeleon,165.0,https://scrapeme.live/shop/Charmeleon/
Charizard,156.0,https://scrapeme.live/shop/Charizard/
Squirtle,130.0,https://scrapeme.live/shop/Squirtle/
Wartortle,123.0,https://scrapeme.live/shop/Wartortle/
Blastoise,76.0,https://scrapeme.live/shop/Blastoise/
Caterpie,73.0,https://scrapeme.live/shop/Caterpie/
Metapod,148.0,https://scrapeme.live/shop/Metapod/
Butterfree,162.0,https://scrapeme.live/shop/Butterfree/
Weedle,25.0,https://scrapeme.live/shop/Weedle/
Kakuna,148.0,https://scrapeme.live/shop/Kakuna/
Beedrill,168.0,https://scrapeme.live/shop/Beedrill/
Pidgey,159.0,https://scrapeme.live/shop/Pidgey/
